 Total battles: 3128137
 Avg. weight/team: 0.033
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Landorus-Therian   | 36.99105% | 1070733 | 17.115% | 890607 | 19.358% | 
 | 2    | Latios             | 22.34431% | 635503 | 10.158% | 444255 |  9.656% | 
 | 3    | Excadrill          | 19.54580% | 708184 | 11.320% | 508274 | 11.048% | 
 | 4    | Clefable           | 18.06478% | 693522 | 11.085% | 509739 | 11.079% | 
 | 5    | Rotom-Wash         | 17.53333% | 776673 | 12.414% | 630018 | 13.694% | 
 | 6    | Garchomp           | 16.78613% | 715357 | 11.434% | 557701 | 12.122% | 
 | 7    | Heatran            | 16.74274% | 712794 | 11.393% | 571986 | 12.432% | 
 | 8    | Keldeo             | 16.34721% | 487166 |  7.787% | 362161 |  7.872% | 
 | 9    | Talonflame         | 14.74622% | 725365 | 11.594% | 516713 | 11.231% | 
 | 10   | Tyranitar          | 13.53530% | 579416 |  9.261% | 445240 |  9.678% | 
 | 11   | Manaphy            | 12.63719% | 282810 |  4.520% | 210942 |  4.585% | 
 | 12   | Scizor-Mega        | 11.22063% | 383743 |  6.134% | 284796 |  6.190% | 
 | 13   | Ferrothorn         | 10.87607% | 767474 | 12.267% | 632273 | 13.743% | 
 | 14   | Bisharp            | 10.37798% | 568836 |  9.092% | 395716 |  8.601% | 
 | 15   | Tornadus-Therian   | 10.23404% | 267051 |  4.269% | 204531 |  4.446% | 
 | 16   | Jirachi            | 10.16690% | 346209 |  5.534% | 264448 |  5.748% | 
 | 17   | Starmie            |  9.83972% | 480430 |  7.679% | 342670 |  7.448% | 
 | 18   | Skarmory           |  9.82913% | 465347 |  7.438% | 375720 |  8.166% | 
 | 19   | Weavile            |  9.67072% | 574114 |  9.177% | 408800 |  8.885% | 
 | 20   | Azumarill          |  9.48051% | 585052 |  9.351% | 435027 |  9.456% | 
 | 21   | Lopunny-Mega       |  9.40902% | 427732 |  6.837% | 334074 |  7.261% | 
 | 22   | Dragonite          |  8.56273% | 663148 | 10.600% | 447252 |  9.721% | 
 | 23   | Zapdos             |  8.11467% | 312119 |  4.989% | 238986 |  5.194% | 
 | 24   | Thundurus          |  7.84110% | 259767 |  4.152% | 196122 |  4.263% | 
 | 25   | Pinsir-Mega        |  7.22892% | 198722 |  3.176% | 136351 |  2.964% | 
 | 26   | Kyurem-Black       |  7.22805% | 284739 |  4.551% | 202176 |  4.394% | 
 | 27   | Metagross-Mega     |  7.20883% | 338114 |  5.404% | 244406 |  5.312% | 
 | 28   | Gengar             |  7.14965% | 801753 | 12.815% | 549958 | 11.954% | 
 | 29   | Chansey            |  6.95694% | 403844 |  6.455% | 286860 |  6.235% | 
 | 30   | Latias             |  6.84372% | 265145 |  4.238% | 183132 |  3.980% | 
 | 31   | Magnezone          |  6.73214% | 309388 |  4.945% | 231501 |  5.032% | 
 | 32   | Medicham-Mega      |  6.49466% | 235933 |  3.771% | 184437 |  4.009% | 
 | 33   | Amoonguss          |  6.42191% | 270532 |  4.324% | 193983 |  4.216% | 
 | 34   | Diancie-Mega       |  6.19181% | 225772 |  3.609% | 177017 |  3.848% | 
 | 35   | Tangrowth          |  5.79336% | 208571 |  3.334% | 159717 |  3.472% | 
 | 36   | Azelf              |  5.53951% | 101860 |  1.628% | 94183  |  2.047% | 
 | 37   | Sableye-Mega       |  5.50554% | 266516 |  4.260% | 224164 |  4.872% | 
 | 38   | Heracross-Mega     |  5.30418% | 220314 |  3.521% | 153573 |  3.338% | 
 | 39   | Breloom            |  5.29745% | 411824 |  6.583% | 291558 |  6.337% | 
 | 40   | Serperior          |  5.20693% | 491725 |  7.860% | 343182 |  7.459% | 
 | 41   | Charizard-Mega-X   |  5.01826% | 485772 |  7.765% | 350995 |  7.629% | 
 | 42   | Slowbro            |  4.93755% | 262742 |  4.200% | 195288 |  4.245% | 
 | 43   | Volcanion          |  4.76122% | 323891 |  5.177% | 249497 |  5.423% | 
 | 44   | Scizor             |  4.57063% | 337822 |  5.400% | 247669 |  5.383% | 
