 Total battles: 285074
 Avg. weight/team: 0.089
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | Rank | Pokemon            | Usage %   | Raw    | %       | Real   | %       | 
 + ---- + ------------------ + --------- + ------ + ------- + ------ + ------- + 
 | 1    | Sylveon            | 20.79210% | 81847  | 14.355% | 60142  | 13.939% | 
 | 2    | Hydreigon          | 17.73741% | 68417  | 12.000% | 50174  | 11.629% | 
 | 3    | Crobat             | 15.39421% | 81359  | 14.270% | 62711  | 14.534% | 
 | 4    | Conkeldurr         | 15.16039% | 62479  | 10.958% | 48779  | 11.305% | 
 | 5    | Krookodile         | 14.73367% | 57662  | 10.114% | 44196  | 10.243% | 
 | 6    | Forretress         | 14.14244% | 63715  | 11.175% | 55190  | 12.791% | 
 | 7    | Entei              | 13.94312% | 48130  |  8.442% | 36628  |  8.489% | 
 | 8    | Celebi             | 12.49297% | 41701  |  7.314% | 31792  |  7.368% | 
 | 9    | Beedrill-Mega      | 12.35822% | 66210  | 11.613% | 48815  | 11.314% | 
 | 10   | Tentacruel         | 12.32369% | 49063  |  8.605% | 39093  |  9.060% | 
 | 11   | Blastoise-Mega     | 11.92515% | 58246  | 10.216% | 45665  | 10.584% | 
 | 12   | Aerodactyl-Mega    | 11.28804% | 54347  |  9.532% | 38405  |  8.901% | 
 | 13   | Empoleon           | 10.89320% | 49284  |  8.644% | 40217  |  9.321% | 
 | 14   | Gyarados           | 10.18915% | 44904  |  7.876% | 34713  |  8.045% | 
 | 15   | Infernape          | 10.04988% | 58233  | 10.214% | 44440  | 10.300% | 
 | 16   | Mamoswine          |  9.99445% | 36304  |  6.367% | 28383  |  6.578% | 
 | 17   | Arcanine           |  9.88693% | 75861  | 13.305% | 58202  | 13.489% | 
 | 18   | Chandelure         |  9.06092% | 62944  | 11.040% | 46036  | 10.670% | 
 | 19   | Donphan            |  8.26357% | 48266  |  8.466% | 39821  |  9.229% | 
 | 20   | Aggron-Mega        |  8.15565% | 41526  |  7.283% | 33427  |  7.747% | 
 | 21   | Suicune            |  8.04256% | 32306  |  5.666% | 25154  |  5.830% | 
 | 22   | Metagross          |  8.00036% | 39838  |  6.987% | 31110  |  7.210% | 
 | 23   | Crawdaunt          |  7.94775% | 34149  |  5.989% | 25404  |  5.888% | 
 | 24   | Florges            |  7.80776% | 44537  |  7.811% | 31930  |  7.400% | 
 | 25   | Cobalion           |  7.79105% | 27978  |  4.907% | 21706  |  5.031% | 
 | 26   | Nidoking           |  7.75841% | 43927  |  7.704% | 32239  |  7.472% | 
 | 27   | Heliolisk          |  7.70200% | 36590  |  6.418% | 27369  |  6.343% | 
 | 28   | Swampert-Mega      |  7.67136% | 34324  |  6.020% | 27446  |  6.361% | 
 | 29   | Rotom-Heat         |  7.63010% | 37902  |  6.648% | 31390  |  7.275% | 
